"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Jan 2019","1","CCGT/COGEN/TRIGEN","2511.262","2319.916"
"MG","01 Jan 2019","1","GT","-0.035","-0.035"
"MG","01 Jan 2019","1","IGS","-0.002","-0.002"
"MG","01 Jan 2019","1","ST","43.875","42.417"
"MG","01 Jan 2019","2","CCGT/COGEN/TRIGEN","2503.325","2312.976"
"MG","01 Jan 2019","2","GT","-0.034","-0.034"
"MG","01 Jan 2019","2","IGS","-0.001","-0.001"
"MG","01 Jan 2019","2","ST","46.120","44.674"
"MG","01 Jan 2019","3","CCGT/COGEN/TRIGEN","2471.693","2281.161"
"MG","01 Jan 2019","3","GT","-0.034","-0.034"
"MG","01 Jan 2019","3","IGS","-0.001","-0.001"
"MG","01 Jan 2019","3","ST","47.355","45.916"
"MG","01 Jan 2019","4","CCGT/COGEN/TRIGEN","2444.879","2254.313"
"MG","01 Jan 2019","4","GT","-0.034","-0.034"
"MG","01 Jan 2019","4","IGS","-0.001","-0.001"
"MG","01 Jan 2019","4","ST","47.629","46.179"
"MG","01 Jan 2019","5","CCGT/COGEN/TRIGEN","2405.569","2214.964"
"MG","01 Jan 2019","5","GT","-0.034","-0.034"
"MG","01 Jan 2019","5","IGS","-0.001","-0.001"
"MG","01 Jan 2019","5","ST","48.042","46.582"
"MG","01 Jan 2019","6","CCGT/COGEN/TRIGEN","2381.415","2190.800"
"MG","01 Jan 2019","6","GT","-0.034","-0.034"
"MG","01 Jan 2019","6","IGS","-0.001","-0.001"
"MG","01 Jan 2019","6","ST","47.356","45.919"
"MG","01 Jan 2019","7","CCGT/COGEN/TRIGEN","2340.932","2150.079"
"MG","01 Jan 2019","7","GT","-0.034","-0.034"
"MG","01 Jan 2019","7","IGS","-0.001","-0.001"
"MG","01 Jan 2019","7","ST","47.274","45.831"
"MG","01 Jan 2019","8","CCGT/COGEN/TRIGEN","2309.700","2118.828"
"MG","01 Jan 2019","8","GT","-0.034","-0.034"
"MG","01 Jan 2019","8","IGS","-0.001","-0.001"
"MG","01 Jan 2019","8","ST","47.424","45.987"
"MG","01 Jan 2019","9","CCGT/COGEN/TRIGEN","2298.961","2108.028"
"MG","01 Jan 2019","9","GT","-0.033","-0.033"
"MG","01 Jan 2019","9","IGS","-0.002","-0.002"
"MG","01 Jan 2019","9","ST","46.569","45.115"
"MG","01 Jan 2019","10","CCGT/COGEN/TRIGEN","2284.598","2093.445"
"MG","01 Jan 2019","10","GT","-0.034","-0.034"
"MG","01 Jan 2019","10","IGS","-0.001","-0.001"
"MG","01 Jan 2019","10","ST","45.542","44.092"
"MG","01 Jan 2019","11","CCGT/COGEN/TRIGEN","2289.390","2097.949"
"MG","01 Jan 2019","11","GT","-0.033","-0.033"
"MG","01 Jan 2019","11","IGS","-0.001","-0.001"
"MG","01 Jan 2019","11","ST","45.274","43.826"
"MG","01 Jan 2019","12","CCGT/COGEN/TRIGEN","2310.898","2119.364"
"MG","01 Jan 2019","12","GT","-0.033","-0.033"
"MG","01 Jan 2019","12","IGS","-0.001","-0.001"
"MG","01 Jan 2019","12","ST","46.007","44.557"
"MG","01 Jan 2019","13","CCGT/COGEN/TRIGEN","2335.815","2144.034"
"MG","01 Jan 2019","13","GT","-0.034","-0.034"
"MG","01 Jan 2019","13","IGS","-0.001","-0.001"
"MG","01 Jan 2019","13","ST","45.610","44.158"
"MG","01 Jan 2019","14","CCGT/COGEN/TRIGEN","2355.463","2163.825"
"MG","01 Jan 2019","14","GT","-0.032","-0.032"
"MG","01 Jan 2019","14","IGS","-0.001","-0.001"
"MG","01 Jan 2019","14","ST","46.785","45.337"
"MG","01 Jan 2019","15","CCGT/COGEN/TRIGEN","2367.753","2176.563"
"MG","01 Jan 2019","15","GT","-0.029","-0.029"
"MG","01 Jan 2019","15","IGS","0.203","0.001"
"MG","01 Jan 2019","15","ST","47.148","45.695"
"MG","01 Jan 2019","16","CCGT/COGEN/TRIGEN","2385.067","2195.404"
"MG","01 Jan 2019","16","GT","-0.029","-0.029"
"MG","01 Jan 2019","16","IGS","1.513","0.235"
"MG","01 Jan 2019","16","ST","46.707","45.265"
"MG","01 Jan 2019","17","CCGT/COGEN/TRIGEN","2440.545","2250.673"
"MG","01 Jan 2019","17","GT","-0.029","-0.029"
"MG","01 Jan 2019","17","IGS","3.310","0.993"
"MG","01 Jan 2019","17","ST","46.615","45.173"
"MG","01 Jan 2019","18","CCGT/COGEN/TRIGEN","2475.972","2286.002"
"MG","01 Jan 2019","18","GT","-0.029","-0.029"
"MG","01 Jan 2019","18","IGS","5.341","1.892"
"MG","01 Jan 2019","18","ST","48.201","46.754"
"MG","01 Jan 2019","19","CCGT/COGEN/TRIGEN","2534.701","2345.167"
"MG","01 Jan 2019","19","GT","-0.029","-0.029"
"MG","01 Jan 2019","19","IGS","8.008","3.711"
"MG","01 Jan 2019","19","ST","47.981","46.512"
"MG","01 Jan 2019","20","CCGT/COGEN/TRIGEN","2577.478","2388.487"
"MG","01 Jan 2019","20","GT","-0.031","-0.031"
"MG","01 Jan 2019","20","IGS","10.534","5.390"
"MG","01 Jan 2019","20","ST","47.322","45.827"
"MG","01 Jan 2019","21","CCGT/COGEN/TRIGEN","2629.694","2441.386"
"MG","01 Jan 2019","21","GT","-0.031","-0.031"
"MG","01 Jan 2019","21","IGS","12.435","6.681"
"MG","01 Jan 2019","21","ST","46.431","44.978"
"MG","01 Jan 2019","22","CCGT/COGEN/TRIGEN","2658.428","2470.246"
"MG","01 Jan 2019","22","GT","-0.030","-0.030"
"MG","01 Jan 2019","22","IGS","14.064","7.922"
"MG","01 Jan 2019","22","ST","45.419","43.944"
"MG","01 Jan 2019","23","CCGT/COGEN/TRIGEN","2669.823","2482.105"
"MG","01 Jan 2019","23","GT","-0.031","-0.031"
"MG","01 Jan 2019","23","IGS","15.399","8.895"
"MG","01 Jan 2019","23","ST","46.596","45.128"
"MG","01 Jan 2019","24","CCGT/COGEN/TRIGEN","2662.943","2475.532"
"MG","01 Jan 2019","24","GT","-0.031","-0.031"
"MG","01 Jan 2019","24","IGS","15.546","8.803"
"MG","01 Jan 2019","24","ST","46.179","44.726"
"MG","01 Jan 2019","25","CCGT/COGEN/TRIGEN","2659.414","2472.306"
"MG","01 Jan 2019","25","GT","-0.031","-0.031"
"MG","01 Jan 2019","25","IGS","15.418","8.697"
"MG","01 Jan 2019","25","ST","45.761","44.292"
"MG","01 Jan 2019","26","CCGT/COGEN/TRIGEN","2659.728","2473.365"
"MG","01 Jan 2019","26","GT","-0.032","-0.032"
"MG","01 Jan 2019","26","IGS","16.406","9.487"
"MG","01 Jan 2019","26","ST","45.336","43.884"
"MG","01 Jan 2019","27","CCGT/COGEN/TRIGEN","2671.341","2485.287"
"MG","01 Jan 2019","27","GT","-0.032","-0.032"
"MG","01 Jan 2019","27","IGS","14.269","7.319"
"MG","01 Jan 2019","27","ST","45.339","43.872"
"MG","01 Jan 2019","28","CCGT/COGEN/TRIGEN","2672.198","2486.593"
"MG","01 Jan 2019","28","GT","-0.032","-0.032"
"MG","01 Jan 2019","28","IGS","12.832","6.426"
"MG","01 Jan 2019","28","ST","44.897","43.470"
"MG","01 Jan 2019","29","CCGT/COGEN/TRIGEN","2681.027","2494.976"
"MG","01 Jan 2019","29","GT","-0.032","-0.032"
"MG","01 Jan 2019","29","IGS","10.096","4.675"
"MG","01 Jan 2019","29","ST","46.389","44.952"
"MG","01 Jan 2019","30","CCGT/COGEN/TRIGEN","2683.599","2497.381"
"MG","01 Jan 2019","30","GT","-0.032","-0.032"
"MG","01 Jan 2019","30","IGS","11.835","6.213"
"MG","01 Jan 2019","30","ST","46.081","44.644"
"MG","01 Jan 2019","31","CCGT/COGEN/TRIGEN","2684.670","2498.835"
"MG","01 Jan 2019","31","GT","-0.032","-0.032"
"MG","01 Jan 2019","31","IGS","12.614","7.030"
"MG","01 Jan 2019","31","ST","45.697","44.266"
"MG","01 Jan 2019","32","CCGT/COGEN/TRIGEN","2688.955","2502.945"
"MG","01 Jan 2019","32","GT","-0.052","-0.052"
"MG","01 Jan 2019","32","IGS","10.663","5.690"
"MG","01 Jan 2019","32","ST","43.850","42.417"
"MG","01 Jan 2019","33","CCGT/COGEN/TRIGEN","2697.154","2510.910"
"MG","01 Jan 2019","33","GT","-0.051","-0.051"
"MG","01 Jan 2019","33","IGS","10.005","5.347"
"MG","01 Jan 2019","33","ST","43.408","41.974"
"MG","01 Jan 2019","34","CCGT/COGEN/TRIGEN","2712.978","2526.728"
"MG","01 Jan 2019","34","GT","-0.050","-0.050"
"MG","01 Jan 2019","34","IGS","8.591","4.339"
"MG","01 Jan 2019","34","ST","44.527","43.095"
"MG","01 Jan 2019","35","CCGT/COGEN/TRIGEN","2723.722","2537.641"
